,Xanthomonas_albilineans_GCA_000962915_1.fna.gz,Xanthomonas_albilineans_GCA_000962925_1.fna.gz,Xanthomonas_albilineans_GCA_000962935_1.fna.gz,Xanthomonas_albilineans_GCA_000962945_1.fna.gz,Xanthomonas_albilineans_GCA_000962995_1.fna.gz,Xanthomonas_albilineans_GCA_000963025_1.fna.gz,Xanthomonas_albilineans_GCA_000963055_1.fna.gz,Xanthomonas_albilineans_GCA_000963065_1.fna.gz,Xanthomonas_albilineans_GCA_000963075_1.fna.gz,Xanthomonas_albilineans_GCA_000963115_1.fna.gz,Xanthomonas_albilineans_GCA_000963135_1.fna.gz,Xanthomonas_albilineans_GCA_000963145_1.fna.gz,Xanthomonas_albilineans_GCA_000963155_1.fna.gz,Xanthomonas_albilineans_GCA_000963195_1.fna.gz,Xanthomonas_albilineans_GCA_002939705_1.fna.gz,Xanthomonas_albilineans_GCA_009931595_1.fna.gz,Xanthomonas_albilineans_GPE_PC73_GCA_000087965_1.fna.gz,Xanthomonas_alfalfae_GCA_001855615_1.fna.gz,_Pseudomonas__cissicola_GCA_002019225_1.fna.gz,_Pseudomonas__cissicola_GCA_008801575_1.fna.gz
Xanthomonas_albilineans_GCA_000962915_1.fna.gz,0,0.9468103868455618,0.9819836570459503,0.9728147686492679,0.9701976636799149,0.9819836570459503,0.9953017046457019,1,0.9819836570459503,0.9790123513791693,1,0.9633071918974003,0.9633071918974003,0.9819836570459503,0.9701976636799149,0.9819836570459503,0.9819836570459503,0.5146162321659,0.520731608431746,0.5204339314252083
Xanthomonas_albilineans_GCA_000962925_1.fna.gz,0.9468103868455618,0,0.9510059501108602,0.9506669792896325,0.9710493803351556,0.9510059501108602,0.9488010932848371,0.9468103868455618,0.9510059501108602,0.9493054573166435,0.9468103868455618,0.9667341514912928,0.9667341514912928,0.9510059501108602,0.9710493803351556,0.9510059501108602,0.9510059501108602,0.5121689918498251,0.518425058910543,0.5181273819040053
Xanthomonas_albilineans_GCA_000962935_1.fna.gz,0.9819836570459503,0.9510059501108602,0,0.9741923478323852,0.9715901944583206,1,0.9833763008173421,0.9819836570459503,1,0.98062892597663,0.9819836570459503,0.9645894789262892,0.9645894789262892,1,0.9715901944583206,1,1,0.5140203077041764,0.5201443986027398,0.5198467215962019
Xanthomonas_albilineans_GCA_000962945_1.fna.gz,0.9728147686492679,0.9506669792896325,0.9741923478323852,0,0.9703011592402904,0.9741923478323852,0.9710291818059686,0.9728147686492679,0.9741923478323852,0.9779493924018019,0.9728147686492679,0.9633125039762898,0.9633125039762898,0.9741923478323852,0.9703011592402904,0.9741923478323852,0.9741923478323852,0.5136077311542215,0.5196486353522595,0.5193509583457218
Xanthomonas_albilineans_GCA_000962995_1.fna.gz,0.9701976636799149,0.9710493803351556,0.9715901944583206,0.9703011592402904,0,0.9715901944583206,0.9709593184916667,0.9701976636799149,0.9715901944583206,0.968777193048092,0.9701976636799149,0.9878786613666738,0.9878786613666738,0.9715901944583206,1,0.9715901944583206,0.9715901944583206,0.5150824146783638,0.5212929282067632,0.5209952512002254
Xanthomonas_albilineans_GCA_000963025_1.fna.gz,0.9819836570459503,0.9510059501108602,1,0.9741923478323852,0.9715901944583206,0,0.9833763008173421,0.9819836570459503,1,0.98062892597663,0.9819836570459503,0.9645894789262892,0.9645894789262892,1,0.9715901944583206,1,1,0.5140203077041764,0.5201443986027398,0.5198467215962019
Xanthomonas_albilineans_GCA_000963055_1.fna.gz,0.9953017046457019,0.9488010932848371,0.9833763008173421,0.9710291818059686,0.9709593184916667,0.9833763008173421,0,0.9953017046457019,0.9833763008173421,0.9792420823652466,0.9953017046457019,0.9652007290676198,0.9652007290676198,0.9833763008173421,0.9709593184916667,0.9833763008173421,0.9833763008173421,0.5143802446604953,0.5204910034836598,0.520193326477122
Xanthomonas_albilineans_GCA_000963065_1.fna.gz,1,0.9468103868455618,0.9819836570459503,0.9728147686492679,0.9701976636799149,0.9819836570459503,0.9953017046457019,0,0.9819836570459503,0.9790123513791693,1,0.9633071918974003,0.9633071918974003,0.9819836570459503,0.9701976636799149,0.9819836570459503,0.9819836570459503,0.5146162321659,0.520731608431746,0.5204339314252083
Xanthomonas_albilineans_GCA_000963075_1.fna.gz,0.9819836570459503,0.9510059501108602,1,0.9741923478323852,0.9715901944583206,1,0.9833763008173421,0.9819836570459503,0,0.98062892597663,0.9819836570459503,0.9645894789262892,0.9645894789262892,1,0.9715901944583206,1,1,0.5140203077041764,0.5201443986027398,0.5198467215962019
Xanthomonas_albilineans_GCA_000963115_1.fna.gz,0.9790123513791693,0.9493054573166435,0.98062892597663,0.9779493924018019,0.968777193048092,0.98062892597663,0.9792420823652466,0.9790123513791693,0.98062892597663,0,0.9790123513791693,0.961291877583902,0.961291877583902,0.98062892597663,0.968777193048092,0.98062892597663,0.98062892597663,0.5124412122199445,0.5185122789705912,0.5182146019640534
Xanthomonas_albilineans_GCA_000963135_1.fna.gz,1,0.9468103868455618,0.9819836570459503,0.9728147686492679,0.9701976636799149,0.9819836570459503,0.9953017046457019,1,0.9819836570459503,0.9790123513791693,0,0.9633071918974003,0.9633071918974003,0.9819836570459503,0.9701976636799149,0.9819836570459503,0.9819836570459503,0.5146162321659,0.520731608431746,0.5204339314252083
Xanthomonas_albilineans_GCA_000963145_1.fna.gz,0.9633071918974003,0.9667341514912928,0.9645894789262892,0.9633125039762898,0.9878786613666738,0.9645894789262892,0.9652007290676198,0.9633071918974003,0.9645894789262892,0.961291877583902,0.9633071918974003,0,1,0.9645894789262892,0.9878786613666738,0.9645894789262892,0.9645894789262892,0.514489362793483,0.5206901953257874,0.5203925183192497
Xanthomonas_albilineans_GCA_000963155_1.fna.gz,0.9633071918974003,0.9667341514912928,0.9645894789262892,0.9633125039762898,0.9878786613666738,0.9645894789262892,0.9652007290676198,0.9633071918974003,0.9645894789262892,0.961291877583902,0.9633071918974003,1,0,0.9645894789262892,0.9878786613666738,0.9645894789262892,0.9645894789262892,0.514489362793483,0.5206901953257874,0.5203925183192497
Xanthomonas_albilineans_GCA_000963195_1.fna.gz,0.9819836570459503,0.9510059501108602,1,0.9741923478323852,0.9715901944583206,1,0.9833763008173421,0.9819836570459503,1,0.98062892597663,0.9819836570459503,0.9645894789262892,0.9645894789262892,0,0.9715901944583206,1,1,0.5140203077041764,0.5201443986027398,0.5198467215962019
Xanthomonas_albilineans_GCA_002939705_1.fna.gz,0.9701976636799149,0.9710493803351556,0.9715901944583206,0.9703011592402904,1,0.9715901944583206,0.9709593184916667,0.9701976636799149,0.9715901944583206,0.968777193048092,0.9701976636799149,0.9878786613666738,0.9878786613666738,0.9715901944583206,0,0.9715901944583206,0.9715901944583206,0.5150824146783638,0.5212929282067632,0.5209952512002254
Xanthomonas_albilineans_GCA_009931595_1.fna.gz,0.9819836570459503,0.9510059501108602,1,0.9741923478323852,0.9715901944583206,1,0.9833763008173421,0.9819836570459503,1,0.98062892597663,0.9819836570459503,0.9645894789262892,0.9645894789262892,1,0.9715901944583206,0,1,0.5140203077041764,0.5201443986027398,0.5198467215962019
Xanthomonas_albilineans_GPE_PC73_GCA_000087965_1.fna.gz,0.9819836570459503,0.9510059501108602,1,0.9741923478323852,0.9715901944583206,1,0.9833763008173421,0.9819836570459503,1,0.98062892597663,0.9819836570459503,0.9645894789262892,0.9645894789262892,1,0.9715901944583206,1,0,0.5140203077041764,0.5201443986027398,0.5198467215962019
Xanthomonas_alfalfae_GCA_001855615_1.fna.gz,0.5146162321659,0.5121689918498251,0.5140203077041764,0.5136077311542215,0.5150824146783638,0.5140203077041764,0.5143802446604953,0.5146162321659,0.5140203077041764,0.5124412122199445,0.5146162321659,0.514489362793483,0.514489362793483,0.5140203077041764,0.5150824146783638,0.5140203077041764,0.5140203077041764,0,0.9195598792784807,0.9216782913290427
_Pseudomonas__cissicola_GCA_002019225_1.fna.gz,0.520731608431746,0.518425058910543,0.5201443986027398,0.5196486353522595,0.5212929282067632,0.5201443986027398,0.5204910034836598,0.520731608431746,0.5201443986027398,0.5185122789705912,0.520731608431746,0.5206901953257874,0.5206901953257874,0.5201443986027398,0.5212929282067632,0.5201443986027398,0.5201443986027398,0.9195598792784807,0,0.9957566693780052
_Pseudomonas__cissicola_GCA_008801575_1.fna.gz,0.5204339314252083,0.5181273819040053,0.5198467215962019,0.5193509583457218,0.5209952512002254,0.5198467215962019,0.520193326477122,0.5204339314252083,0.5198467215962019,0.5182146019640534,0.5204339314252083,0.5203925183192497,0.5203925183192497,0.5198467215962019,0.5209952512002254,0.5198467215962019,0.5198467215962019,0.9216782913290427,0.9957566693780052,0
